,id,per_square_meter_price
0,COL_289284,50994280.24444127
1,COL_289305,44600525.60280472
2,COL_289318,81792626.5945043
3,COL_289354,70009274.15510821
4,COL_289399,51838641.141516335
5,COL_289428,69591844.12692368
6,COL_289460,62577259.244736984
7,COL_289493,117650223.6982726
8,COL_289495,134027131.43292405
9,COL_289749,64671309.38986059
10,COL_289763,561327425.3627787
11,COL_289778,68949267.27636991
12,COL_289801,37327037.50842226
13,COL_289971,61813376.95701052
14,COL_290143,57654989.38200405
15,COL_290169,19655693.602266517
16,COL_290252,58013026.88699071
17,COL_290336,47252212.02257922
18,COL_290398,47377106.15783493
19,COL_290403,134440633.14164165
20,COL_290431,34170737.36916346
21,COL_290466,45058063.264148824
22,COL_290486,47115493.51595595
23,COL_290497,34403035.76712613
24,COL_290510,67107294.45939104
25,COL_290559,63060461.4601111
26,COL_290600,47530552.34991961
27,COL_290602,47530732.5489132
28,COL_290716,33858439.01590816
29,COL_290717,10120723.71648021
30,COL_290876,28609612.287119385
31,COL_290966,125072382.80672714
32,COL_291008,69352611.52084978
33,COL_291021,1300350945.8019793
34,COL_291043,69452370.9051181
35,COL_291190,134011867.99973772
36,COL_291192,34358024.02947522
37,COL_291274,28706827.675182894
38,COL_291284,117627968.13509332
39,COL_291397,30769632.971671958
40,COL_291450,149724744.96122205
41,COL_291738,557091401.4902561
42,COL_291740,15791444.18827815
43,COL_291825,50999796.75600036
44,COL_291900,30301531.76196798
45,COL_292045,117692822.99412714
46,COL_292135,61884997.11644554
47,COL_292258,28555527.25615179
48,COL_292275,62597029.93479791
49,COL_292279,172314941.05880383
50,COL_292364,26984235.499107044
51,COL_292417,62735424.675809905
52,COL_292421,82536139.16877985
53,COL_292501,70396317.79716614
54,COL_292654,557480560.9980026
55,COL_292906,117862619.12514043
56,COL_292926,28685665.935297657
57,COL_293123,51705508.71994358
58,COL_293135,47352565.257804565
59,COL_293496,17623356.574774187
60,COL_293497,124107503.8154
61,COL_293588,561621773.7002457
62,COL_293614,1300671700.7451532
63,COL_293631,117928948.60346334
64,COL_293703,40741193.33860094
65,COL_293773,30423420.777695253
66,COL_293780,118068088.00986879
67,COL_293783,117861103.85047838
68,COL_293826,69371685.16839911
69,COL_293889,117640836.12550354
70,COL_293952,156901069.06320927
71,COL_293956,47234418.75082048
72,COL_294068,117584781.59636398
73,COL_294101,557251171.5870777
74,COL_294115,66746134.51116982
75,COL_294143,129176871.44997148
76,COL_294200,47231319.419277005
77,COL_294245,125094787.52898622
78,COL_294261,38167102.792263396
79,COL_294293,63120426.971751004
80,COL_294300,65008054.75011882
81,COL_294350,61915388.59689322
82,COL_294488,47103060.19803785
83,COL_294525,156264190.1392035
84,COL_294553,157824385.8066077
85,COL_294558,92461436.88779923
86,COL_294593,135242649.1506044
87,COL_294691,111256552.10244395
88,COL_294716,56298243.190815456
89,COL_294729,65465566.564301096
90,COL_294785,121208339.00155659
91,COL_294917,70069007.39785555
92,COL_294951,19820750.145315174
93,COL_294975,51562184.33513847
94,COL_295255,30419447.17204526
95,COL_295327,34084496.768031776
96,COL_295509,22782760.478855707
97,COL_295595,156207827.24293926
98,COL_296322,44494162.29269144
99,COL_296509,34281000.25496646
100,COL_296521,562180947.7954241
101,COL_296756,39101608.016492076
102,COL_296901,128220366.82935403
103,COL_297293,69713454.05158187
104,COL_297324,70838999.63510261
105,COL_297326,44869882.06905472
106,COL_297329,133913970.354803
107,COL_297441,16013626.737231012
108,COL_297472,125974139.16412026
109,COL_297631,117609262.88514104
110,COL_297815,117957700.84663317
111,COL_298020,70418514.4256071
112,COL_298046,117715396.60053672
113,COL_298052,61736310.729504116
114,COL_298055,67303677.75568044
115,COL_298064,117714837.16026425
116,COL_298075,62809558.582982264
117,COL_298099,69025397.27416077
118,COL_298101,117889666.14242281
